SideWindowRearLeftOpenness,803,,
SideWindowRearRightOpenness,804,,
RearWindow,805,,
SunroofOpenness,806,,
SunroofTilt,807,,
ConvertibleRoofOn,808,,
HybridPowerStatus,809,,
ChargingStatusOn,810,,
LevelOfCharge,811,,
BatteryChargeCordConnected,812,,
TargetChargeLevel,813,,
TimetoFullCharge,814,,
TimetoTargetCharge,815,,
RefuelPosition,819,,
SteeringWheelPosition,820,,
VerticalAcceleration,821,,
TransmissionOilWear,822,,
MirrorPanLeft,823,,
MirrorPanCenter,824,,
MirrorPanRight,825,,
MirrorTiltLeft,826,,
MirrorTiltCenter,827,,
MirrorTiltRight,828,,
SteeringWheelPositionTelescoping,829,,
SteeringWheelPositionTilt,830,,
SeatBackReclineFrontRight,832,,
SeatSlideFrontLeft,833,,
SeatSlideFrontRight,834,,
SeatCushionHeightFrontLeft,835,,
SeatCushionHeightFrontRight,836,,
SeatBackCushionFrontLeft,837,,
SeatBackCushionFrontRight,838,,
SeatSideCushionFrontLeft,839,,
SeatSideCushionFrontRight,840,,
SeatHeadrestFrontLeft,841,,
SeatHeadrestFrontRight,842,,
DashboardIllumination,843,,
ActiveNoiseControlMode,844,,
NumberOfDoorsTotal,848,,
VehiclePowerMode,849,,
FuelEfficiencyInstant,850,,
MeanFuelEfficiencyDrive,854,,
VehicleBrandOrMake,866,,
VehicleModel,867,,
FuelConfiguration,868,,
WheelTick,870,,
BrakesWorn,871,,
BrakeFluidLevel,872,,
WasherFluidLevelLow,873,,
TractionControlSystemEngaged,874,,
ElectronicStabilityControlEngaged,875,,
SideWindowDriveLocked,876,,
SideWindowPassengerLocked,877,,
SideWindowRearLeftLocked,878,,
SideWindowRearRightLocked,879,,
SeatCoolerLevelDriver,881,,
SeatCoolerLevelPassenger,882,,
SeatCoolerLevelRightRear,883,,
SeatCoolerLevelLeftRear,884,,
SeatHeaterLevelDriver,885,,
SeatHeaterLevelPassenger,886,,
SeatHeaterLevelRightRear,887,,
SeatHeaterLevelLeftRear,888,,
SteeringWheelHeaterLevel,889,,
AlarmStatus,890,,
AccelPedalPosition,900,,
BrakeFluidHydraulicPressure,901,,
EngineCoolantTemp,902,,
EngineSpeed,903,,
FuelLevel,904,,
LateralAcceleration,906,,
LongitudinalAcceleration,907,,
VehicleSpeed,908,,
Yawrate,909,,
FrontLeftWheelSpeed,910,,
FrontRightWheelSpeed,911,,
RearLeftWheelSpeed,912,,
RearRightWheelSpeed,913,,
GpsAccuracy,914,,
GpsAltitudeAccuracy,915,,
GpsFixStatus,916,,
GpsTimestamp,917,,
